label,title,content
11,Vintervisor, Vintervisor is the name of the second album by the Swedish folk band Triakel. It was released in late 2000 on Mono Music AB.
13,Soulmates (play), Soulmates is a play by Australian playwright David Williamson published by Currency Press and set in the world of publishing.Among the people satired are a critic which was seen as a reflection of Williamson's battles with the critics over a long period of time.Williamson later said he was surprised that no one picked up Soulmates for a film. It worked very well with audiences on stage and is a classic revenge story.
3,Vladimir Kurayev, Vladimir Petrovich Kurayev (Russian: Владимир Петрович Кураев; born June 10 1969) is a retired Russian professional footballer. He made his professional debut in the Soviet Second League B in 1990 for FC Znamya Arzamas. He played 3 games in the UEFA Intertoto Cup 1997 for FC Lokomotiv Nizhny Novgorod.
4,Jim Suttle, James H. Suttle (born c. 1944 or 1945) was the 50th mayor of Omaha Nebraska serving from 2009 to 2013.
2,Vanessa R. Williams, Vanessa R. Williams who records as just Vanessa Williams (born November 28 1960 in Baton Rouge Louisiana) is an American gospel music singer.After working as a public school art teacher for many years she signed with Light Records and Bajada Records. Her debut album Vanessa was released in 2002 and made the top ten of Billboard magazine's gospel albums chart. Her follow-up album Here I Go Again was released in 2004.
0,Chinese Entertainment Shanghai Limited, Chinese Entertainment Shanghai Limited (Chinese: 上海唐人电影制作有限公司) also known as Chinese Entertainment (Chinese: 唐人电影) is a company established in 1998 that provides investment production and publishment of films TV series and cartoons.Its headquarters are in Shanghai China. It has branch offices/agencies in Beijing Hengdian (Chinese:横店) Hong Kong and Taiwan and a publishing network in China Singapore Malaysia India Japan Korea Vietnam America Canada and Europe.
9,Archana (moth), Archana is a genus of moths of the Noctuidae family.
7,Mont Collon, Mont Collon (3637 m) is a mountain of the Swiss Pennine Alps in the canton of Valais. Its glaciated north face dominates the view south from the village of Arolla.The ascent over the West Ridge first made by A. Cust and F. Gardiner with the guides Peter Knubel and Johannes Knubel of St. Niklaus in the canton Valais on 3 August 1876 is now the normal route.
4,Jessica King, Jessica King is a former Democratic member of the Wisconsin Senate representing the 18th Wisconsin District when elected in 2011. She defeated incumbent Republican Senator Randy Hopper in a special recall election on August 9 2011 and took office August 25 2011; but lost the seat to another Republican Rick Gudex in the November 2012 general election helping to revert that chamber back to Republican control.
2,Vilhelms Purvītis, Vilhelms Purvītis (3 March 1872 in Zaube Latvia – 14 January 1945 in Bad Nauheim Germany) was a landscape painter and educator who founded the Latvian Academy of Art and was its rector from 1919 to 1934.Purvītis studied painting at the Imperial Academy of Arts in Saint Petersburg Russia from 1890 to 1897 primarily under Arkhip Kuindzhi graduating with the Grand Gold Medal. From 1898 to 1901 his paintings were exhibited in Berlin Munich Paris and Lyon to great acclaim.
1,Evergreen High School (Evergreen Colorado), Evergreen High School is a public secondary institution in the JEFFCO Public Schools district in Evergreen Colorado U.S. Until Conifer High School opened in 1996 it served students in both Evergreen and Conifer. Evergreen High School is known for being a school of excellence in its academic athletic and extracurricular activities.
7,Slimnic River (Coțatcu), The Slimnic River is a tributary of the Coțatcu River in Romania. The upper reach of the river is sometimes referred to as Tâmboeşti River
10,Podocarpus aracensis, Podocarpus aracensis is a species of conifer in the Podocarpaceae family.It is found only in Brazil.
13,Dancing Barefoot (book), Dancing Barefoot is a book of memoirs written by writer and actor Wil Wheaton and illustrated by illustrator Ben Claassen III. In Spring of 2003 Wheaton founded the independent publishing company Monolith Press and released the book (ISBN 0-9741160-0-9).
3,Durand Soraine, Durand Soraine (born 11 September 1983) is an Indian-born Canadian cricket player. He is a right-handed batsman and right arm medium pace bowler. He made his senior debut for Canada in the ICC Americas Championship One Day International against Bermuda on 21 August 2006 and went on to play for them in the remaining matches in the tournament. He played for the Canada Under 19 team in the 2004 World Cup.
3,Anton Smirnov, Anton Yuryevich Smirnov (Russian: Антон Юрьевич Смирнов; born August 7 1983) is a Russian professional football player. As of 2012 he plays for FC Slavia-Mozyr.
12,Clubland (2007 film), Clubland internationally known as Introducing the Dwights is a 2007 Australian comedy film directed by Cherie Nowlan and written by Keith Thompson. It stars an ensemble cast which includes Khan Chittenden Emma Booth Richard Wilson and Brenda Blethyn.
11,Mantra of Love, Mantra of Love is an album by Acid Mothers Temple & The Melting Paraiso U.F.O. released in 2004 by Alien8 Recordings.
1,Souderton Area School District, Souderton Area School District is a large suburban public school district which covers an area of almost 50 square miles (130 km2) in Montgomery County Pennsylvania. The district serves the municipalities of Souderton Telford Franconia Lower Salford Upper Salford and Salford. By 2005 the population of the district had exceeded 41000. The Souderton Area School District operates 3 secondary schools and 7 elementary schools.
13,Erec (poem), Erec is the first poem of Hartmann von Aue and is considered the founding work of Arthurian Legend in German. It is based on Chrétien de Troyes' first romance Erec and Enide.
0,Worldcolor, World Color Press Inc. (Worldcolor) (formerly Quebecor World) was a company which provided high-value and comprehensive print digital and related services to businesses worldwide. World Color and its subsidiaries printed various commercial products including comic books magazines brochures direct mail and newspaper inserts and directories while also providing clients a broad range of pre-press services such as desktop production and assembly.
10,Mimetes fimbriifolius, Mimetes fimbriifolius (also called Cowl Pagoda or the Fringed Pagoda) is a species of plant in the Proteaceae family. It is endemic to the Table Mountain range in the city of Cape Town South Africa.
5,ORP Rolnik, ORP Rolnik (Polish: farmer) is a Polish Navy missile Tarantul-class corvette.
11,Unexpected Arrival, Unexpected Arrival is the debut studio album by American rapper Diggy Simmons released on March 20 2012 in the United States by Atlantic Records. As of June 22 2013 the album has sold 89750 copies in the United States.
8,Białosuknia, Białosuknia [bjawɔˈsukɲa] is a village in the administrative district of Gmina Goniądz within Mońki County Podlaskie Voivodeship in north-eastern Poland. It lies approximately 8 kilometres (5 mi) east of Goniądz 10 km (6 mi) north of Mońki and 46 km (29 mi) north-west of the regional capital Białystok.
1,St. Henry's Marist Brothers' College, St. Henry's Marist College formerly known as St Henry's Marist Brothers' College is a co-educational private school school with a Catholic foundation in Glenwood Durban KwaZulu-Natal South Africa.
1,Ursuline High School (Santa Rosa California), Ursuline High School was a private Roman Catholic all-girls high school in Santa Rosa California. It is located in the Roman Catholic Diocese of Santa Rosa in California.
7,Maningory River, Maningory is a river in the region of Analanjirofo in north-eastern Madagascar. It takes it source in Lake Alaotraand flows into the Indian Ocean near Antakobola.
1,Prestonwood Christian Academy, Prestonwood Christian Academy (PCA) is a private PreK-12 school in Plano Texas. As ministry of Prestonwood Baptist Church it was founded 1997.
13,Chi's Sweet Home, Chi's Sweet Home (チーズスイートホーム chīzu suīto hōmu) is a manga series written and illustrated by Kanata Konami. It has been serialized in Kodansha's seinen manga magazine Weekly Morning since 2004. The manga has been licensed for North American distribution by Vertical Inc. To date it has been collected in nine volumes with the most recent being published in August 2012. An anime adaptation in two seasons began airing on March 31 2008 and concluded on September 25 2009.
6,McGregor Memorial Conference Center, The McGregor Memorial Conference Center is an office building located at 495 Ferry Mall on the campus of Wayne State University in Midtown Detroit Michigan. The building was Minoru Yamasaki's first commission following his trip to Japan and re-envisionment of architectural design.
1,Huachiew Chalermprakiet University, Huachiew Chalermprakiet University (HCU) is a university located in Samut Prakan Thailand. Huachiew Midwifery School founded by the Poh Teck Tung Foundation began offering nursing and midwifery training in 1941. It became Huachiew College with a single faculty in nursing in 1981 and expanded into a university in 1992 under its current name. The university today is organized into nine faculties and a graduate school.
5,RV Simon Stevin, The RV Simon Stevin performs coastal oceanographic research in the Southern Bight of the North Sea and in the eastern part of the English Channel. It also serves as training platform for students from marine scientific and maritime studies and as a test platform for new marine and maritime technologies.
3,Pedro Uralde, Pedro Uralde Hernáez (born 2 March 1958 in Vitoria-Gasteiz Álava) is a Spanish retired footballer who played as a striker.
8,Dobroszowice, Dobroszowice [dɔbrɔʂɔˈvit͡sɛ] is a village in the administrative district of Gmina Lubrza within Prudnik County Opole Voivodeship in south-western Poland close to the Czech border. It lies approximately 3 kilometres (2 mi) north-east of Lubrza 7 km (4 mi) north-east of Prudnik and 40 km (25 mi) south-west of the regional capital Opole.Before 1945 the area was part of Germany (see Territorial changes of Poland after World War II).
4,Praise-God Barebone, Praise-God Barebone (c. 1598 –1679) also spelled Barbon was an English leather-seller preacher and Fifth Monarchist. He is best known for giving his name to the Barebone's Parliament of the English Commonwealth of 1653.
0,Atlantic Television, Atlantic Television Inc (also known as Atlantic TV and ATV) is a national television production and professional video services company headquartered in New York City. The company provides production support for leading broadcasters corporations and production companies in every major city in North America.
8,Qazi Bolaghi, Qazi Bolaghi (Persian: قاضي بلاغي‎ also Romanized as Qāzī Bolāghī; also known as Kazibaga Qāzībagha Qāẕī Bāghī Qāzī Bāghī and Qāẕī Bolāgh) is a village in Dast Jerdeh Rural District Chavarzaq District Tarom County Zanjan Province Iran. At the 2006 census its population was 412 in 110 families.
4,John W. Metzger, John William Metzger (April 4 1911 – January 25 1984) was a prominent Denver lawyer. He was elected to the Attorney General for the state of Colorado in 1949 for one term. He was also briefly the owner of the historic Trianon property in Colorado Springs Colorado before moving much of the art to the Trianon Museum and Art Gallery in Denver.
10,Hydrangea anomala, Hydrangea anomala is a species of hydrangea native to the woodlands of the Himalaya southern and central China and northern Myanmar.It is a woody climbing plant growing to 12 m height up trees or rock faces climbing by means of small aerial roots on the stems. The leaves are deciduous ovate 7-13 cm long and 4-10 cm broad with a heart-shaped base coarsely serrated margin and acute apex.
5,Swiftsure, Lightship No. 83 also known as Swiftsure is a lightship launched in Camden New Jersey in 1904 and now moored in Seattle Washington. She steamed around the tip of South America to her first station at Blunts Reef in California where she saved 150 people when their ship ran aground in dense fog. Formerly known as Relief Number 83 had numerous names on her sides all of which indicated the location of her station.
5,MS Silja Symphony, MS Silja Symphony is a cruiseferry owned by the Estonian shipping company Tallink Group operated under their Silja Line brand on a route connecting Helsinki Finland to Stockholm Sweden via Mariehamn. She was built in 1991 by Masa Yards Turku Finland.
3,Ronnie Grieveson, Ronald Eustace Ronnie Grieveson OBE (24 August 1909 – 24 July 1998) was a South African cricketer who played in two Tests in 1938-39. He was born and died in Johannesburg South Africa.As a cricketer Grieveson was a right-handed middle-order batsman and a wicketkeeper though he did not always keep wicket for Transvaal which had the services of Test wicketkeeper Jock Cameron until his death in 1935.
7,Seleucus (crater), Seleucus is a lunar impact crater located in the western part of Oceanus Procellarum. To the west is the lava-flooded remains of the walled plain Eddington. To the southwest is the crater Krafft and to the northwest lies Briggs.The rim of Seleucus is well-formed with a terraced inner rim and a slight rampart. The floor is relatively flat with a small central peak.
7,Guadalupe River Spain, The Guadalupe or Guadalupejo River (Spanish: Río Guadalupe) is a right hand tributary of the Guadiana in Spain.
9,Eulima mamilla, Eulima mamilla is a species of sea snail a marine gastropod mollusk in the family Eulimidae. The species is one of multiple known species to exist within the genus Eulima.
12,The Hills Have Eyes (2006 film series), The Hills Have Eyes is the title of a American slasher horror film series that began in 2006. The first film of the series is a remake of the 1977 film The Hills Have Eyes by Wes Craven. The film was followed by The Hills Have Eyes 2 in 2007.The films center around an inbred clan living in the desert killing anyone who they encounter. The films draw inspiration from the legend of Sawney Bean a serial killer who is said to have murdered and eaten over a thousand people with his family.
7,Supramonte, The Supramonte is an area of mountains and highlands located in central-eastern Sardinia Italy. It lies northeast of the Gennargentu massif spanning eastwards until it reaches the Tyrrenian See in the Gulf of Orosei. It has an extension of about 35000 hectares encompassing most of the territories of the comuni (municipalities) of Baunei Dorgali Oliena Orgosolo and Urzulei.
7,Mălinul River, The Mălinul River is a tributary of the Valea Scorușilor River in Romania.
7,Boistfort Peak, Boistfort Peak also called Baw Faw Peak is a peak in the Willapa Hills in Washington state. The summit was once the site of a fire lookout.Today it has communication antennae including the N7PRJ 2-meter ham repeater. It also is the site of station BOW in the Pacific Northwest Seismic Network.
3,Mitch Escanellas, Mitch Escanellas (born 19 June 1973) is a Puerto Rican fencer. She competed in the women's individual épée event at the 1996 Summer Olympics.
2,Conrad Bernier, Conrad Bernier (b. Quebec City 9 May 1904 d. Washington DC 7 Nov 1988) was a French-Canadian organist composer and teacher.
7,Kronplatz, The Kronplatz (Ladin and Italian: Plan de Corones) is a mountain in South Tyrol Italy.In the winter it is a ski resort and some of the lifts remain open in the summer for other activities such as walking climbing and mountain biking. Kronplatz ski resort is the most modern in the Dolomites and one of the best ski resorts in Europe. 32 lifts 1375 metres (4510 feet) of vertical descent 60 Pistes (116km)
11,Through Tomorrow, Through Tomorrow is the debut album by heavy metal band Seasons After. It was firstly released in 2008 and then remixed and reissued in 2010 with 2 additional tracks. Their first single is 11:11. The second single off the album is their cover of the 1980s classic Cry Little Sister by Gerard McMann' made famous from the film The Lost Boys. The music video for the song premiered on MTV2's Headbanger's Ball.
13,Functional Ecology (journal), Functional Ecology is a bimonthly peer-reviewed scientific journal on organismal ecology publishing papers on physiological behavioural and evolutionary ecology emphasising an integrative approach. The scope of the journal has changed over time. A recent editorial stated that the journal is increasing its coverage of community evolutionary and ecosystem ecology. The journal was established in 1987 and is published by Wiley-Blackwell on behalf of the British Ecological Society.
3,John Kelly (Lancashire and Derbyshire cricketer), John Martin Kelly (19 March 1922 – 13 November 1979) was an English cricketer who played first class cricket for Lancashire from 1947 to 1949 and for Derbyshire from 1950 to 1960.Kelly was born at Bacup Lancashire. He was playing for Bacup as a teenager in 1938 and 1939 and again in 1946 after World War II. Also in 1946 he played a match for Lancashire second XI.
1,University of Santa Catalina, The Pontifical and Royal University of St. Catherine or University of Osma (Spanish Pontificia y Real Universidad de Santa Catalina or Universidad de Osma) was founded in 1550 by the Portuguese bishop Pedro Alvarez de Acosta in El Burgo de Osma in Spain. It was closed in 1841. The building that housed the university is now a hotel.
1,The Academy of Music, The Academy of Music was a music conservatory located in the United States. The academy was once considered one of the foremost music academies in the southeast and the primary music academy in the state of North Carolina. Centrally located downtown in the metropolitan city of Raleigh North Carolina the Academy taught a number of University age students as well as advanced high school students..
3,Louay Chanko, Louay Chanko (Arabic: لؤي شنكو‎; born 29 November 1979) is a Swedish Assyrian-born Syrian footballer who plays in midfield for Syrianska FC in the Swedish Allsvenskan. Chanko have scored one of the most special goals ever in Greek championship in AEK's 3–0 win against rivals Panathinaikos (23 October 2005). It was an amazing volley from 35m. distance with the ball coming to him from big height. Greek fans will remember him for years because of this shoot.
9,Anama (genus), Anama limpida is a species of beetle in the family Cerambycidae the only species in the genus Anama.
1,Grantlea Downs School, Grantlea Downs School is a primary school in Timaru New Zealand and it started in 1959. In 2004 they merged with Seadown School and Grantlea with the new title Grantlea Downs. In 2006-2007 a new hall was built which has a bigger staffroom offices and meeting room. The Principal of Grantlea Downs is Dave Hawkey since 1997.50th Jubilee was held at the school in Easter 2009.
7,Khojak Pass, Khojak Pass (el. 7513 ft) connects Qila Abdullah with Chaman in the province of Baluchistan Pakistan. The road through the pass connects the larger cities of Quetta Pakistan and Kandahar Afghanistan. Khojak railroad tunnel 5.2 kilometre long (3.2 miles). Small forts to defend pass on each hill top.
3,Mikael Andersson (ice hockey born 1966), Bo Mikael Andersson (born 10 May 1966) is a Swedish former professional ice hockey forward who played 15 seasons in the National Hockey League (NHL) for the Buffalo Sabres Hartford Whalers Tampa Bay Lightning Philadelphia Flyers and New York Islanders. Andersson is now serving as a scout for the Tampa Bay Lightning. He is the older brother of former hockey player Niklas Andersson.
3,Maria Dyatchkova, Maria Dyatchkova is a Russian football defender currently playing for Zvezda Perm in the Russian Championship. She has won five championships with CSK VVS Samara Rossiyanka and Zvezda.She is a member of the Russian national team but missed the 2009 European Championship due to an injury.
13,The Starmen, The Starmen is a science fiction novel by author Leigh Brackett. It was published in 1952 by Gnome Press in an edition of 5000 copies. It was also published by Ballantine Books in 1976 under the original magazine title of The Starmen of Llyrdis. Ace Books published an abridged edition under the title The Galactic Breed. The Ace edition was published as an Ace Double with Conquest of the Space Sea by Robert Moore Williams.
5,USS Pembina (AK-200), USS Pembina (AK-200) – later known as USNS Pembina (T-AK-200) -- was an Alamosa-class cargo ship that was constructed for the U.S. Navy during the closing period of World War II. After a brief period of service with the Navy in the Pacific theatre she was transferred to the U.S. Army in Yokosuka Japan. In 1951 she was returned to the Navy and served the remainder of her Navy career with the Military Sea Transportation Service.
11,Rag & Bone (album), Rag & Bone is the third EP by American alternative country band The Walkabouts released on February 1 1990 through Sub Pop Records.
7,Veischede, Veischede is a river of North Rhine-Westphalia Germany.
1,Ferndale High School (Washington), Ferndale High School is one of two high schools in the Ferndale School District in Ferndale Washington. Ferndale High School (FHS) is located on the coast of Puget Sound in the northwest region of Washington State. The school is north of Bellingham and approximately 10 miles south of the Canadian border.The school has a diverse student population that includes members of the nearby Lummi Nation and immigrants from Asia and Europe.
11,The Story of The Dawn: The Ultimate OPM Collection, The Story of The Dawn: The Ultimate OPM Collection is a compilation album by The Dawn released in 2001. It is a repackaged reissue of The Dawn: OPM Timeless Collection Gold Series a compilation album released in 1997 containing exactly the same tracks in similar sequence.
2,Joseph Hoo Kim, Joseph 'Jo Jo' Hoo Kim (born 1942) is a Jamaican reggae record producer.
12,Sachaai, Sachaai is a 1969 Indian Bollywood film directed by K. Shankar and produced by M.C. Ramamurthy. It stars Shammi Kapoor Sanjeev Kumar and Sadhana Shivdasani in pivotal roles.
2,Sam Rizzetta, Sam Rizzetta (born May 23 1942) is a hammered dulcimer player builder and designer originally from Chicago and now living in Inwood West Virginia.Rizzetta discovered the hammered dulcimer while working in the repair of guitars and illustrated books in the 1960s to put himself through graduate school. His first exposure to the instrument was hearing the traditional player Chet Parker. Sam and his wife Carrie moved east around 1968 and he took a job with the Smithsonian Institution.
1,Iowa City West High School, Iowa City West High School is a public high school in Iowa City Iowa. It has about 2000 students in grades 9-12. The school employs nearly 200 teachers and staff. Boys' athletic teams are called The Trojans while girls' teams are called The Women of Troy.
13,Swimming Without a Net (novel), Swimming Without a Net is the second novel in the Fred the Mermaid Trilogy by MaryJanice Davidson.
0,Front Sight Firearms Training Institute, Front Sight Firearms Training Institute also known as Front Sight was founded in 1996 by Dr. Ignatius Piazza.
4,William B. Read, William Brown Read (December 14 1817 – August 5 1880) was a 19th-century politician and lawyer from Kentucky.Born in Hardin County Kentucky Read completed preparatory studies studied law and was admitted to the bar commencing practice in Hodgenville Kentucky in 1849.
7,Pavilion Mountain, Pavilion Mountain is a mountain in the Marble Range in the South Cariboo region of the South-Central Interior of British Columbia Canada located northeast of the ranching and First Nations community of Pavilion and to the north of Marble Canyon and immediately south of Kelly Lake which is the focus of Downing Provincial Park.
4,Carlos Heredia, Carlos Heredia is a Mexican economist born in Tampico Tamaulipas in 1956. Heredia served as a (PRD) Member of Mexico's 57th Congress from 1997 to 2000.He has held senior positions with Mexico’s Treasury Department and the Government of Mexico City. He was Senior Advisor on International Affairs to Lázaro Cárdenas-Batel Governor of the State of Michoacán from 2003 to 2008.
12,Maowid ala ashaa, Maowid ala Ashaa (1981)(Arabic: موعد على العشاء‎ English: A Dinner Date) is a 1981 Egyptian romance film starring Souad Hosni and Ahmed Zaki. The life story of a beautiful and pure woman interested of the very little things with a great sensibility.
9,Banded Green Sunbird, The Banded Green Sunbird (Anthreptes rubritorques) is a species of bird in the Nectariniidae family.It is endemic to Tanzania.Its natural habitats are subtropical or tropical moist lowland forests subtropical or tropical moist montane forests plantations and rural gardens.It is threatened by habitat loss.
3,Pak Chol-min (judoka), Pak Chol-min (born September 21 1982) is a North Korean judoka. He won the bronze medal in the Men's 66 kg at the 2008 Summer Olympics.
7,Mount Tandikat, Tandikat is a stratovolcano in West Sumatra Indonesia. Its elevation is 2438 m (7999 ft). It is a twin volcano with Mount Singgalang which is located to the north-north-east of Tandikat. However only Tandikat has had historical volcanic activity. The city of Padang Panjang is located at the foot of the mountain.
9,Koyamaia, Koyamaia curvipes is a species of harvestmen in a monotypic genus in the family Sclerosomatidae.
7,Rimetea River, The Rimetea is a small river in the Apuseni Mountains Alba County and Cluj County western Romania. It is a right tributary of the river Arieş. It flows through the municipalities Rimetea and Iara and joins the Arieș in the village Buru. It is fed by several smaller streams including Pârâul Muntelui and Valea Albă.
4,Moss Kent Dickinson, Moss Kent Dickinson (June 1 1822 – July 19 1897) was a Canadian businessman mayor of Ottawa from 1864 to 1866 member of the Canadian Parliament from 1882 to 1887 and the founder of Manotick.He was born in Denmark New York in 1822 to parents Barnabus and Lydia Dickinson. A descendent of the Mayflower Pilgrims the Dickinson family had been settled in the United States for generations. His family moved to Cornwall Ontario in 1827.
2,James Gelfand, James Gelfand (born April 3 1959) is a Canadian jazz pianist arranger and composer. He is best known for his film and television scores.
9,Western school whiting, The western school whiting Sillago vittata (also known as the banded whiting golden whiting and bastard whiting) is a species of benthic marine fish in the smelt-whiting family Sillaginidae. The species is one of three 'school whiting' that inhabit southern Australia and share a very similar appearance. Western school whiting are known to grow to 30 cm in length and 275 g in weight although unconfirmed reports suggest this might be an underestimate.
12,The Invisible Divorce, The Invisible Divorce is a 1920 American silent drama film released by Select Pictures and starring Leatrice Joy. The film's status is currently unknown suggesting that it is a lost film.
6,Vienna Public Library, The Vienna Public Library also known as Vienna Carnegie Library is a Carnegie library located at 401 Poplar St. in Vienna Illinois. The library was built in 1911 through a $5000 grant from the Carnegie Foundation. The brick building designed by local architect Thomas Clymer features a tall flight of stairs leading to the front entrance; two pilasters flank the staircase.
13,Newjack: Guarding Sing Sing, Newjack: Guarding Sing Sing is a non-fiction book by Ted Conover published in 2000. In the book Conover a journalist and university professor recounts his experience of learning about the New York State correctional system by becoming a correctional officer for nearly a year. The author went to such lengths after being repeatedly denied cooperation by the New York State Department of Correctional Services. In the book he divulges the inner-workings of the system.
10,Cotyledon chrysantha, Cotyledon chrysantha (syn. Umbilicus chrysanthus Boiss. & Heldr.) is an ornamental plant of Crassulaceae family.
10,Hygrophila corymbosa, Hygrophila corymbosa commonly known as temple plant starhorn or giant hygro is an aquatic plant in the acanthus family. It is native to South East Asia but is grown worldwide in tropical aquariums. The plant naturally grows as an emergent but it can survive long periods fully submerged.
13,Tears of the Giraffe, Tears of the Giraffe is the second in The No. 1 Ladies' Detective Agency series of novels by Alexander McCall Smith set in Botswana and featuring the Motswana protagonist Precious Ramotswe.
8,Kadaungbwin, Kadaungbwin is a village in Homalin Township Hkamti District in the Sagaing Region of northwestern Burma.
12,Pokkisham, Pokkisham (Tamil: பொக்கிஷம் Pokkiṣam ? English: Treasure) is a 2009 Tamil film directed by Cheran. The feature failed at the box office compared to Cheran's previous work Autograph. Movie dubbed by Meena and Prasanna.This movie's concept is partially inspired by the 1995 Hollywood romantic film The Bridges of Madison County directed by Clint Eastwood.
10,Abelmoschus caillei, Abelmoschus caillei the West African okra is a plant species in the family Malvaceae. It occurs in West and Central Africa where it is used as a vegetable. It originated as an allopolyploid hybrid of Abelmoschus esculentus and A. manihot. The same hybrid was produced experimentally in Japan where it is known as Abelmoschus glutino-textile.
13,Aero International, Aero International is a German monthly magazine devoted to civil aviation. It was established in 1993. The editor in chief since 1997 is Dietmar Plath.
13,The Mariner (newspaper), The Mariner is a Toulouse-based English-language newspaper aimed at the university's and city's English-friendly community which offers both investigative journalism and original creative content.
6,123 Albert Street, 123 Albert Street also known as Rio Tinto Tower is a commercial office development in Brisbane Australia. The modern style office building is located in the Brisbane central business district at 123 Albert Street. The building was completed in July 2011 and opened in October 2011.The Premium grade office tower was designed by Hassell and is owned by Dexus Property Group.
5,Sri Lanka Railways S5, The Sri Lanka Railways Class S5 is a diesel multiple unit. These DMUs were built by Hitachi. These were introduced to Sri Lanka between 1969 and 1970. Only two train-sets were imported. This class was built with modern interior facilities aiming the special train tours.
2,Sebastian Wurth, Sebastian Wurth (Born on 21 July 1994 in Wipperfürth North Rhine-Westphalia) is a German singer and was a participant in season 8 of Deutschland sucht den Superstar making it to the Top 5.
3,Charlie Roland, Charlie Roland (16 March 1878 - 3 February 1938) was a former Australian rules footballer who played with Carlton in the Victorian Football League (VFL).
4,Sara L. Ellis, Sara Lee Ellis (born December 8 1969) is a United States District Judge of the United States District Court for the Northern District of Illinois.
1,Antioch Community High School, Antioch Community High School Antioch or ACHS is a public four-year high school located in Antioch Illinois a far north suburb of Chicago Illinois in the United States. It is part of Community High School District 117 which also includes Lakes Community High School.
0,Procrastinate! Music Traitors, Procrastinate! Music Traitors is an American record label started by the members of the band Brand New. Little is known about the label other than its first release a rerelease of Kevin Devine's 2006 album Put Your Ghost to Rest (available April 20 2008).On January 11 2010 Brand New announced via their Twitter account that their 2006 album The Devil and God Are Raging Inside Me would be released as a 2-LP white vinyl record through Procrastinate! Music Traitors on March 23 2010.
7,Black Mountains (Arizona), For other mountain ranges named Black Mountains see: Black Mountains (disambiguation)The Black Mountains of northwest Arizona are an extensive mostly linear north-south 75-mile (121 km) long mountain range. It forms the north-south border of southwest Mohave County as it borders the eastern shore of the south-flowing Colorado River from Hoover Dam.The northwest and parts of the west of the range are located in the Lake Mead National Recreation Area.
6,Salvador Dali Museum, The Salvador Dali Museum in St. Petersburg Florida United States houses the largest collection outside Europe of the works of the artist Salvador Dalí and is located on the Downtown St. Petersburg waterfront by 5th Avenue Southeast Bay Shore Drive and Dan Wheldon Way. On April 18 2012 the AIA's Florida Chapter placed the building on its list of Florida Architecture: 100 Years. 100 Places as the Dali Museum.
0,Coop Norge, Coop Norge SA is a Norwegian cooperative. It is owned by 117 local cooperatives with more than 1.3 million members. The company has its headquarters in Oslo.
3,Luis Ángel Morales, Luís Ángel Morales (born April 4 1993 in Guadalajara Jalisco Mexico) is a Mexican footballer. He currently plays as an attacking midfielder for Monarcas Morelia of Mexico. He is nicknamed El Vaquerito because he played in a 3rd division team The Vaqueros.
7,Açunguí River, The Açunguí River is a river of Paraná state in southern Brazil.
6,Cross Cancer Institute, The Cross Cancer Institute is the comprehensive cancer centre for northern Alberta and is one of two tertiary cancer centres in the province. It provides inpatient and outpatient services for cancer patients and counselling and support services for patients and their families.
7,Mount Waesche, Mount Waesche is a large and prominent mountain of volcanic origin standing immediately SW of Mount Sidley and marking the southern end of the Executive Committee Range in Marie Byrd Land Antarctica. The feature is snow covered except for rock exposures on the south and southwestern slopes. The volcano may have been active as late as the Holocene (Lough et al.
7,Lake Claire (Alberta), Lake Claire is the largest lake which is entirely in Alberta Canada. It is located entirely in Wood Buffalo National Park west of Lake Athabasca. It lies between the mouths of Peace River and Athabasca River and is part of the Peace-Athabasca Delta system.The lake has a total area of 1436 km2 (554 sq mi) with 21 km2 (8.1 sq mi) island area and lies at an elevation of 213 m (699 ft). It is the largest lake located entirely within Albertan boundaries.
6,Puente de las Calabazas, Puente de las Calabazas is a lattice girder bridge near Coamo Puerto Rico that dates from 1882. It was listed on the U.S. National Register of Historic Places in 2009.
11,Mientras Más Lo Pienso...Tú, Mientras Más Lo Pienso...Tú is the third album by Juan Luis Guerra and it was the one that converted him into a national star and created a fan base for him outside the Dominican Republic[citation needed].
8,Deliabad, Deliabad (Persian: دلي اباد‎ also Romanized as Delīābād and Dalīābād; also known as Dalābād) is a village in Shirvan Rural District in the Central District of Borujerd County Lorestan Province Iran. At the 2006 census its population was 509 in 126 families.
4,Leo T. Sorokin, Leo T. Sorokin (born 1961) is the Chief United States Magistrate Judge of the District of Massachusetts and is a nominee to be a United States District Judge of the United States District Court for the District of Massachusetts.
6,Smithsonian Institution Building, For similar uses and terms see Smithsonian (disambiguation).The Smithsonian Castle located near the National Mall in Washington D.C. behind the National Museum of African Art and the Sackler Gallery houses the Smithsonian Institution's administrative offices and information center. The building is constructed of Seneca red sandstone in the faux Norman style (a 12th-century combination of late Romanesque and early Gothic motifs) and is nicknamed the Castle.
7,Vicar Water, Vicar Water is a small river in Nottinghamshire England. It is a tributary of the River Maun and runs through an area which was once the royal hunting ground of Clipstone Park. It gained its present name in the early nineteenth century and was dammed in 1870 in order to make a trout fishery which was used to stock the lakes at nearby Welbeck Abbey. Since the cessation of coal mining much of it has been incorporated into a country park and is a designated Local Nature Reserve.
9,Heterogobius chiloensis, Heterogobius chiloensis is a species of goby found along the Pacific coast of Chile. This species is the only known member of its genus.
